"SASKAITOS_METAI","KREDITORIUS","KREDITORIAUS_NR","SUTARTIES_NR","SASKAITOS_DATA","SASKAITOS_NR","DK_DATA","TERMS_DATE","TREMINAS","VALIUTA","INVOICE_TYPE_LOOKUP_CODE","FIN_SALTINIS","PRIEMONE","SAMATA","EKON_KLAS","ASIGNAV_VALDYTOJAS","ASIGN_VALD_APRASAS","EILUTES_SUMA","APMOKETA_SUMA","SKOLOS_SUMA","SKOLOS_SUMA_ES","DEPARTAMENTAS"
"2013","Vilniaus miesto savivaldybės administracija","188710061",,"2013-04-30T00:00","ŽN/201304/2","2014-12-31T00:00","2013-04-30T00:00","Nedelsiant","EUR","STANDARD","01","0000000000","0000000","1.4.5.1.3.1.","188710061","Vilniaus miesto savivaldybės administracija",-28379.31,0,-28379.31,,"Administracija EUR"
"2013","Vilniaus miesto savivaldybės administracija","188710061",,"2013-04-30T00:00","ŽN/201304/2","2014-12-31T00:00","2013-04-30T00:00","Nedelsiant","EUR","STANDARD","01","0000000000","0000000","1.4.5.1.3.1.","188710061","Vilniaus miesto savivaldybės administracija",28379.31,0,28379.31,,"Administracija EUR"
"2013","Luminor bankas, AB","304870069",,"2013-05-27T00:00","K-2400/931 gavimas2013","2014-12-31T00:00","2013-05-27T00:00","Nedelsiant","EUR","STANDARD","01","16050101","1300170","3.3.1.4.1.2.","188710061","Vilniaus miesto savivaldybės administracija",1286031.12,1286031.12,0,,"Biudžeto skyrius EUR"
"2013","Vilniaus viešasis transportas, UAB","302683277","29-462(1.2.16-AD4)","2013-05-31T00:00","VVT 0002365","2014-12-31T00:00","2013-05-31T00:00","30 dienų","EUR","STANDARD","01","15020104004","3001078","2.8.1.1.1.2.","188751791","Administracija (buvęs Miesto ūkio ir transporto departamentas)",946643.26,946643.26,0,,"Administracija EUR"
"2013","Vilniaus miesto savivaldybės administracija","188710061",,"2013-05-31T00:00","ŽN/201305-1","2014-12-31T00:00","2013-05-31T00:00","Nedelsiant","EUR","STANDARD","01","0000000000","0000000","1.4.5.1.3.1.","188710061","Vilniaus miesto savivaldybės administracija",56800.14,0,56800.14,,"Administracija EUR"
"2013","Baltijos būsto priežiūra, UAB","302496377","29-396(1.2.16-AD4)/6","2013-06-28T00:00","GAO 0013061 FINAN","2014-12-31T00:00","2013-06-28T00:00","90 dienų","EUR","STANDARD","01","14010143","3000647","2.2.1.1.1.12.","188751791","Administracija (buvęs Miesto ūkio ir transporto departamentas)",104461.39,104461.39,0,,"Administracija EUR"
"2013","Baltijos būsto priežiūra, UAB","302496377","29-396(1.2.16-AD4)/6","2013-06-28T00:00","GAO 0013078 FINAN","2014-12-31T00:00","2013-06-28T00:00","90 dienų","EUR","STANDARD","01","14010143","3000647","2.2.1.1.1.12.","188751791","Administracija (buvęs Miesto ūkio ir transporto departamentas)",76497.46,76497.46,0,,"Administracija EUR"
"2013","Stebulė, UAB","122211549","A50-43139/1","2013-06-28T00:00","GAO 0013089 Perleidimas","2014-12-31T00:00","2013-06-28T00:00","90 dienų","EUR","STANDARD","01","14010102","3000630","2.2.1.1.1.12.","188751791","Administracija (buvęs Miesto ūkio ir transporto departamentas)",86886.01,86886.01,0,,"Administracija EUR"
"2013","Vilniaus miesto savivaldybės administracija","188710061",,"2013-06-30T00:00","ŽN/2013-06","2014-12-31T00:00","2013-06-30T00:00","Nedelsiant","EUR","STANDARD","01","0000000000","0000000","1.4.5.1.3.1.","188710061","Vilniaus miesto savivaldybės administracija",28395.89,0,28395.89,,"Administracija EUR"
"2013","Baltijos būsto priežiūra, UAB","302496377","29-396(1.2.16-AD4)/1","2013-07-02T00:00","EC 00001848 FINAN","2014-12-31T00:00","2013-07-02T00:00","180 dienų","EUR","STANDARD","01","14010121","3000790","3.1.1.2.1.3.","188751791","Administracija (buvęs Miesto ūkio ir transporto departamentas)",593036.98,593036.98,0,,"Administracija EUR"
"2013","Baltijos būsto priežiūra, UAB","302496377","29-396(1.2.16-AD4)/6","2013-07-31T00:00","GAO 0013268 FINAN","2014-12-31T00:00","2013-07-31T00:00","90 dienų","EUR","STANDARD","01","14010143","3000647","2.2.1.1.1.12.","188751791","Administracija (buvęs Miesto ūkio ir transporto departamentas)",79047.37,79047.37,0,,"Administracija EUR"
"2013","Baltijos būsto priežiūra, UAB","302496377","29-396(1.2.16-AD4)/5","2013-07-31T00:00","GAO 0013295 FINAN","2014-12-31T00:00","2013-07-31T00:00","90 dienų","EUR","STANDARD","01","14010102","3000630","2.2.1.1.1.12.","188751791","Administracija (buvęs Miesto ūkio ir transporto departamentas)",227134.53,227134.53,0,,"Administracija EUR"
"2013","Baltijos būsto priežiūra, UAB","302496377","29-396(1.2.16-AD4)/7","2013-07-31T00:00","GAO 0013301 FINAN","2014-12-31T00:00","2013-07-31T00:00","90 dienų","EUR","STANDARD","01","14010143","3000647","2.2.1.1.1.12.","188751791","Administracija (buvęs Miesto ūkio ir transporto departamentas)",185398.29,185398.29,0,,"Administracija EUR"
"2013","Baltijos būsto priežiūra, UAB","302496377","29-396(1.2.16-AD4)/5","2013-07-31T00:00","GAO 0013303 FINAN","2014-12-31T00:00","2013-07-31T00:00","90 dienų","EUR","STANDARD","01","14010102","3000630","2.2.1.1.1.12.","188751791","Administracija (buvęs Miesto ūkio ir transporto departamentas)",138741.71,138741.71,0,,"Administracija EUR"
